384,288,192,96,0
480,576,672,768,864
1344,1248,1152,1056,960
1440,1536,1632,1728,1824
2304,2208,2112,2016,1920
2400,2496,2592,2688,2784
3264,3168,3072,2976,2880
3360,3456,3552,3648,3744
4224,4128,4032,3936,3840
4320,4416,4512,4608,4704
5184,5088,4992,4896,4800
5280,5376,5472,5568,5664
6144,6048,5952,5856,5760
6240,6336,6432,6528,6624
7104,7008,6912,6816,6720
7200,7296,7392,7488,7584
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
